"legis.names","party","idealpoint","sd","term","term.session","KMT.whip","DPP.whip","KMT.whipName","DPP.whipName","group.mu","ideal.distance","ideal.inter.distance","year","session","election","vote_get","vote_rate","con_size","bigdist","middist","windegree","ballotindex","sex","degree","areaName","party.D","party.K","system.change","PR.legis"
"丁守中","K",1.16606465646573,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,8.00012939759238e-06,7.04804997480841,1996,"1",0,57412,0.0953,9,1,0,0.9531177,0.0169295814282932,1,"台大政治系學士;美國佛萊契爾外交法律研究院(哈佛大學合作管理);外交法律碩士;國際政治學博士;","台北市第一選舉區",0,1,0,0
"余玲雅","D",-1.44047213447976,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.00233091805171534,6.77929712471362,1996,"1",0,65820,0.1209,6,0,1,0.84661393,0.0132836695608063,0,"高雄縣仕隆國小;市立高雄女中;北一女;政大歷史系畢;中山大學行政研究所研究;","高雄縣",1,0,0,0
"傅崑成","k2",-0.367801357189447,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.00314390109735241,NA,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"全文盛","K",0.967430040415075,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0383400546637968,6.03282882359592,1996,"1",0,11000,0.1489,4,0,0,0.74424899,NA,1,"中山醫學院醫事技術科畢業;","山地原住民",0,1,0,0
"劉光華","K",1.1648598620792,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.63625754833658e-06,7.0416544106108,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"國立政治大學政治研究所法學博士;","全國不分區",0,1,0,0
"劉國昭","K",1.14987845264213,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000178429587235209,6.96236917014458,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"東海大學經濟學士;明治大學經營學碩士;","全國不分區",0,1,0,0
"劉松藩","K",0.936588482578556,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0513691907436306,5.88227508185245,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"省立台中商專職業學校高級部畢業;日本近畿大學商經科畢業;","全國不分區",0,1,0,0
"劉盛良","K",1.14975669228068,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.000181697302688481,6.96172662384388,1996,"1",0,56580,0.04,17,1,0,0.7197639,0.14232815225984,1,"大豐國小;國立師大附中;台北成淵高中;大同工學院商學士;美國加州人文大學社會科學榮譽博士;淡江大學大陸問題研究所研究;","台北縣第三選舉區",0,1,0,0
"劉進興","D",-1.31718599207206,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.0294347978399406,6.15249428300334,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"台灣大學化學系學士;美國華盛頓大學化學博士;國立台灣工業技術學院化工系副教授;","全國不分區",1,0,0,0
"吳克清","K",1.15794025981971,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.804705088668e-05,7.00497841815466,1996,"1",0,44196,0.0692,8,0,1,0.62316152,0.0491550709516551,1,"民國66年淡江大學教育資料系畢業;民國81年中國國民黨革命實踐研究院結業;現為元智大學管理研究所公共事務組二年級;","桃園縣",0,1,0,0
"吳惠祖","K",1.16151206775196,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,2.97265430732679e-06,7.02389812675789,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"珠海大學中國歷史學系畢;","僑選",0,1,0,0
"周伯倫","D",-1.47943955989736,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,8.6716262842165e-05,6.98373520612735,1996,"1",0,47239,0.0334,17,1,0,0.60093543,0.0669483309280957,1,"瑞芳國小;瑞芳國中;台中一中;東吳大學法律系;","台北縣第一選舉區",1,0,0,0
"周荃","k2",-0.432615634079667,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,7.64536144852717e-05,NA,1996,"1",0,70733,0.05,17,1,0,0.89980664,0.0383790591522641,0,"台南市勝利國小;台南後甲中;台南瀛海中學;中國文化大學新聞系畢;","台北縣第一選舉區",0,0,0,0
"周陽山","k2",-0.424921972548283,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,1.10273988642853e-06,NA,1996,"1",0,54456,0.0932,9,1,0,0.93173345,0.0323540209156078,1,"台大學士;美國哥倫比亞大學政治學博士、政治學碩士、哲學;碩士;","台北市第一選舉區",0,0,0,0
"姚立明","k2",-0.439642978476333,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.423871858322863,0.000248728230895175,NA,1996,"1",0,42490,0.0781,6,0,1,0.54653032,0.0538416190958356,1,"師大附中畢;輔仁大學法律學士;德國畢勒佛大學法學博士;","高雄縣",0,0,0,0
"尤宏","D",-1.48843227316624,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,1.02044120673518e-07,7.03134572587831,1996,"1",0,51635,0.0949,6,0,1,0.66415847,0.0435201742070382,1,"溪埔國小;省鳳初中;左營高中;文化大學法系律;","高雄縣",1,0,0,0
"巴燕達魯","D",-1.47647213427327,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000150788142630057,6.96806012417165,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"廖大林","D",-1.28216931314364,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.0426762894264051,5.98000815534024,1996,"1",0,52106,0.1513,4,0,0,0.75640694,0.0525056596996085,1,"台灣大學經濟系畢;美國德州農工大學統計學博士;","雲林縣",1,0,0,0
"廖學廣","O1",-1.06180184525874,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-0.453084570083536,0.370536721096729,NA,1996,"1",0,76412,0.054,17,1,0,0.97205017,0.574025174144665,1,"汐止國小畢;松山初中畢;復興高中肄;師大附中畢;台灣大學法律系學士;美國聖地牙哥大學政治系碩士;","台北縣第三選舉區",0,0,0,0
"廖福本","K",1.07604289884812,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",1.01944343665463,0.0076026728934502,6.57817141953846,1996,"1",0,65261,0.1895,4,0,0,0.94737407,0.0175431898542587,1,"永光國小;斗六初中;台南師範學院;國立師範大學、文化大學研究所畢;教育行政高考及格;","雲林縣",0,1,0,0
"張俊宏","D",-1.48586599761584,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,8.32737417565036e-06,7.01774248767446,1996,"1",0,NA,NA,NA,NA,NA,NA,NA,1,"台灣大學政治研究所;","全國不分區",1,0,0,0
"張俊雄","D",-1.50676138939764,0.0336769548712105,3,"3-1",1.1632362064666,-1.48875171662082,"洪玉欽","施明德",-1.42209956572162,0.000324348313528298,7.12888716192082,1996,"1",0,29859,0.0999,6,0,1,0.69926933,0.00991249391924705,1,"台灣大學法律系法學組第一名畢業;律師高考第一名及格;","高雄市第一選舉區",1,0,0,0
